"Gene_Id","padj","logFC","Regulation"
"220686_s_at",0.000474,-1.7795338,"Downregulated"
"235416_at",0.000474,-3.704878,"Downregulated"
"239303_at",0.000474,-1.7396368,"Downregulated"
"234367_x_at",0.000474,-3.6789345,"Downregulated"
"207601_at",0.001045,-2.7548539,"Downregulated"
"205509_at",0.001045,-3.5671766,"Downregulated"
"1554628_at",0.001045,-1.4023165,"Downregulated"
"203256_at",0.001103,3.2272292,"Upregulated"
"1570445_a_at",0.001462,-4.5205678,"Downregulated"
"210505_at",0.001462,-4.2682112,"Downregulated"
"205941_s_at",0.001621,4.4626402,"Upregulated"
"209366_x_at",0.001621,-1.3195692,"Downregulated"
"217763_s_at",0.001621,1.6610577,"Upregulated"
"228825_at",0.001621,-1.5798036,"Downregulated"
"219543_at",0.001621,-2.6611743,"Downregulated"
"227140_at",0.001621,4.5624785,"Upregulated"
"219564_at",0.001621,-6.3451455,"Downregulated"
"219313_at",0.001621,-1.168563,"Downregulated"
"217764_s_at",0.001621,1.5137357,"Upregulated"
"234095_at",0.001621,-1.1759052,"Downregulated"
"215726_s_at",0.001621,-1.356913,"Downregulated"
"225520_at",0.001621,1.8643835,"Upregulated"
"1555175_a_at",0.001693,-2.1783733,"Downregulated"
"204745_x_at",0.001693,-2.6264277,"Downregulated"
"212354_at",0.001828,3.525713,"Upregulated"
"1553797_a_at",0.001828,-3.300451,"Downregulated"
"242546_at",0.001828,2.7391107,"Upregulated"
"207843_x_at",0.001828,-1.1813114,"Downregulated"
"223862_at",0.001828,-4.6658703,"Downregulated"
"210511_s_at",0.001828,4.9973833,"Upregulated"
"1554530_at",0.001828,-3.8488261,"Downregulated"
"217762_s_at",0.001829,1.4688334,"Upregulated"
"236118_at",0.001829,-3.5163465,"Downregulated"
"206461_x_at",0.001931,-2.2223449,"Downregulated"
"209213_at",0.002089,-1.363273,"Downregulated"
"217546_at",0.002172,-4.9201424,"Downregulated"
"227566_at",0.002223,2.5567101,"Upregulated"
"230204_at",0.002223,-2.3291384,"Downregulated"
"236513_at",0.002223,-1.5852041,"Downregulated"
"237498_at",0.002223,-1.484926,"Downregulated"
"229948_at",0.002223,-1.648897,"Downregulated"
"223426_s_at",0.002223,-1.4109302,"Downregulated"
"205160_at",0.002223,-1.1262702,"Downregulated"
"1553678_a_at",0.002223,1.0840893,"Upregulated"
"212344_at",0.002223,3.6029829,"Upregulated"
"209309_at",0.002223,-2.9141497,"Downregulated"
"223611_s_at",0.002223,-1.7225589,"Downregulated"
"242775_at",0.002223,-1.328868,"Downregulated"
"228201_at",0.002223,1.0221045,"Upregulated"
"1556554_at",0.002223,-5.4444352,"Downregulated"
"201438_at",0.002223,2.0585832,"Upregulated"
"203773_x_at",0.002303,1.255682,"Upregulated"
"226228_at",0.002353,-7.8413652,"Downregulated"
"1564333_a_at",0.002353,-4.9340908,"Downregulated"
"229802_at",0.002438,2.9533462,"Upregulated"
"236360_at",0.002443,-2.9893156,"Downregulated"
"216336_x_at",0.002443,-2.3253429,"Downregulated"
"216661_x_at",0.002443,-2.897473,"Downregulated"
"205660_at",0.002443,-2.1176117,"Downregulated"
"212859_x_at",0.002443,-2.1938631,"Downregulated"
"56256_at",0.002443,-1.6002613,"Downregulated"
"217165_x_at",0.002546,-2.5306411,"Downregulated"
"201108_s_at",0.002546,2.0043127,"Upregulated"
"213353_at",0.002546,-1.0314463,"Downregulated"
"212460_at",0.002735,1.0749425,"Upregulated"
"213629_x_at",0.002735,-2.7253588,"Downregulated"
"208072_s_at",0.002745,-1.5597916,"Downregulated"
"243072_at",0.002745,-1.7361095,"Downregulated"
"209081_s_at",0.002818,1.1560895,"Upregulated"
"1554183_s_at",0.00289,-2.7826247,"Downregulated"
"1569428_at",0.003014,-2.7524049,"Downregulated"
"202404_s_at",0.003018,2.5548157,"Upregulated"
"227742_at",0.003052,-4.2177371,"Downregulated"
"1554182_at",0.003109,-3.172515,"Downregulated"
"209605_at",0.003109,-1.4834335,"Downregulated"
"238783_at",0.003109,-1.3752484,"Downregulated"
"227948_at",0.003109,-1.8295716,"Downregulated"
"222548_s_at",0.003109,1.3516372,"Upregulated"
"205913_at",0.003109,-2.6158292,"Downregulated"
"241780_at",0.003109,1.5311638,"Upregulated"
"212353_at",0.003128,3.4271915,"Upregulated"
"226594_at",0.003172,-1.9655584,"Downregulated"
"237724_at",0.0032,-1.9834143,"Downregulated"
"242269_at",0.0032,-2.7400644,"Downregulated"
"212448_at",0.0032,-1.7507481,"Downregulated"
"210524_x_at",0.0032,-2.4116994,"Downregulated"
"235591_at",0.0032,-3.5878601,"Downregulated"
"229499_at",0.003225,-3.0874929,"Downregulated"
"218404_at",0.003225,1.6890116,"Upregulated"
"221730_at",0.003225,1.9868828,"Upregulated"
"228568_at",0.003271,-1.5097561,"Downregulated"
"231766_s_at",0.003271,2.8421016,"Upregulated"
"212551_at",0.003285,2.2140646,"Upregulated"
"238205_at",0.003285,-3.3291893,"Downregulated"
"238681_at",0.003285,-1.6111227,"Downregulated"
"223753_s_at",0.003285,-2.7513421,"Downregulated"
"213869_x_at",0.003285,2.0904904,"Upregulated"
"224950_at",0.003291,1.2402707,"Upregulated"
"225681_at",0.003291,2.8671448,"Upregulated"
"235521_at",0.003291,1.4799522,"Upregulated"
"207173_x_at",0.003291,1.813153,"Upregulated"
"208636_at",0.003333,1.3033908,"Upregulated"
"241436_at",0.003333,-5.306967,"Downregulated"
"204361_s_at",0.003333,1.3420065,"Upregulated"
"235821_at",0.003333,2.4203602,"Upregulated"
"225354_s_at",0.003333,-1.7404764,"Downregulated"
"207139_at",0.003333,-8.0231921,"Downregulated"
"219553_at",0.003333,1.0521057,"Upregulated"
"203570_at",0.003333,1.0754167,"Upregulated"
"200793_s_at",0.003333,-1.2160107,"Downregulated"
"223326_s_at",0.003333,-1.1283031,"Downregulated"
"204073_s_at",0.003333,-2.3243567,"Downregulated"
"205290_s_at",0.003333,-1.718422,"Downregulated"
"218765_at",0.003333,-1.458821,"Downregulated"
"235202_x_at",0.003333,1.2615284,"Upregulated"
"229401_at",0.003367,-2.124203,"Downregulated"
"225664_at",0.003367,2.5616933,"Upregulated"
"242881_x_at",0.003367,2.7994804,"Upregulated"
"209966_x_at",0.003367,-4.7037854,"Downregulated"
"225295_at",0.003367,1.6076009,"Upregulated"
"229661_at",0.003394,3.4227639,"Upregulated"
"239606_at",0.003423,-1.5826461,"Downregulated"
"1553647_at",0.003485,-1.1895006,"Downregulated"
"208850_s_at",0.003515,2.5630303,"Upregulated"
"202016_at",0.003515,1.6817218,"Upregulated"
"228469_at",0.003515,-1.7237757,"Downregulated"
"215856_at",0.003515,-1.7414622,"Downregulated"
"242892_at",0.003515,-1.2004022,"Downregulated"
"219327_s_at",0.003515,-1.6666549,"Downregulated"
"221676_s_at",0.003515,1.0898029,"Upregulated"
"219965_s_at",0.003515,-1.1879763,"Downregulated"
"236098_at",0.003515,-2.6824188,"Downregulated"
"211571_s_at",0.003529,1.7772765,"Upregulated"
"242398_x_at",0.003575,-1.133237,"Downregulated"
"214421_x_at",0.003575,-2.8778642,"Downregulated"
"237094_at",0.003604,1.8410751,"Upregulated"
"200665_s_at",0.003628,2.0628742,"Upregulated"
"232309_at",0.003628,-1.5086112,"Downregulated"
"231879_at",0.003628,1.8431189,"Upregulated"
"1562208_a_at",0.003628,-1.4607901,"Downregulated"
"211653_x_at",0.003645,-3.4402445,"Downregulated"
"221729_at",0.003645,1.9518489,"Upregulated"
"229909_at",0.003645,-2.4032758,"Downregulated"
"205499_at",0.003645,1.9913791,"Upregulated"
"231978_at",0.003647,-3.7337804,"Downregulated"
"236001_at",0.003807,-3.3526676,"Downregulated"
"201261_x_at",0.003807,2.3708699,"Upregulated"
"1562765_at",0.003807,-1.9614927,"Downregulated"
"201185_at",0.003807,1.4561492,"Upregulated"
"216025_x_at",0.003807,-2.7396807,"Downregulated"
"37892_at",0.003947,5.9817584,"Upregulated"
"207426_s_at",0.004021,1.6764978,"Upregulated"
"226237_at",0.004021,3.5217517,"Upregulated"
"212464_s_at",0.004053,2.530473,"Upregulated"
"201035_s_at",0.004055,-1.2157702,"Downregulated"
"205530_at",0.004061,-1.2727517,"Downregulated"
"238222_at",0.004061,-9.1780163,"Downregulated"
"201666_at",0.004061,2.0927926,"Upregulated"
"242445_at",0.004061,-1.722693,"Downregulated"
"208581_x_at",0.004061,-1.8223506,"Downregulated"
"227491_at",0.00407,-1.4606932,"Downregulated"
"236216_at",0.00407,-1.0125759,"Downregulated"
"205289_at",0.004177,-1.8192399,"Downregulated"
"202006_at",0.004236,1.0599907,"Upregulated"
"212841_s_at",0.004236,-1.2858503,"Downregulated"
"242384_at",0.004236,-1.0725719,"Downregulated"
"207546_at",0.004249,-7.960095,"Downregulated"
"244530_at",0.004249,-1.6766921,"Downregulated"
"206172_at",0.004249,3.439477,"Upregulated"
"204519_s_at",0.004249,-2.4707902,"Downregulated"
"219249_s_at",0.004264,2.6036273,"Upregulated"
"229793_at",0.004264,-1.0752139,"Downregulated"
"212624_s_at",0.004264,1.6694207,"Upregulated"
"207560_at",0.004264,-1.2322245,"Downregulated"
"220724_at",0.004264,-5.2324383,"Downregulated"
"238942_at",0.004328,-2.1172511,"Downregulated"
"237108_x_at",0.004342,-3.8425416,"Downregulated"
"203819_s_at",0.004394,4.6396491,"Upregulated"
"216759_at",0.004407,-1.3104961,"Downregulated"
"211569_s_at",0.004422,-1.1303839,"Downregulated"
"33494_at",0.004422,-1.1275696,"Downregulated"
"216899_s_at",0.004443,1.2494611,"Upregulated"
"228116_at",0.004462,2.2616987,"Upregulated"
"202237_at",0.004462,1.7180859,"Upregulated"
"242055_at",0.004489,-1.5680584,"Downregulated"
"206539_s_at",0.004497,-2.1409082,"Downregulated"
"206796_at",0.004497,2.3684176,"Upregulated"
"222798_at",0.004497,-1.2224832,"Downregulated"
"243015_at",0.004509,-1.5495176,"Downregulated"
"208637_x_at",0.004509,1.5521609,"Upregulated"
"226311_at",0.004519,2.9709372,"Upregulated"
"221552_at",0.004541,-1.0379458,"Downregulated"
"241006_at",0.004667,-1.8057252,"Downregulated"
"210067_at",0.004787,-4.1283382,"Downregulated"
"210381_s_at",0.004787,-4.2018853,"Downregulated"
"207719_x_at",0.004787,1.0774047,"Upregulated"
"239964_at",0.004787,-2.0618453,"Downregulated"
"212593_s_at",0.004787,-1.2020579,"Downregulated"
"207175_at",0.004787,-3.440471,"Downregulated"
"206292_s_at",0.004787,-3.3252571,"Downregulated"
"205295_at",0.004787,-3.3539361,"Downregulated"
"206324_s_at",0.004787,-1.7021772,"Downregulated"
"223327_x_at",0.004787,-1.1084927,"Downregulated"
"219773_at",0.004787,3.5235717,"Upregulated"
"1555522_s_at",0.004787,1.0494522,"Upregulated"
"230895_at",0.004787,-3.1604726,"Downregulated"
"221510_s_at",0.004787,1.1241911,"Upregulated"
"203083_at",0.004787,3.6138315,"Upregulated"
"204416_x_at",0.004787,2.5084573,"Upregulated"
"237411_at",0.004787,1.515555,"Upregulated"
"225799_at",0.004814,1.2833652,"Upregulated"
"206160_at",0.004857,-2.8973238,"Downregulated"
"211689_s_at",0.004882,-2.0137834,"Downregulated"
"227969_at",0.004883,-1.835941,"Downregulated"
"229459_at",0.004883,2.5620202,"Upregulated"
"201105_at",0.004883,1.2622536,"Upregulated"
"230585_at",0.004883,-3.4536726,"Downregulated"
"1553956_at",0.004883,1.1443985,"Upregulated"
"220191_at",0.004883,-8.9911571,"Downregulated"
"220125_at",0.004883,-2.0206673,"Downregulated"
"220589_s_at",0.005008,-1.0519191,"Downregulated"
"205401_at",0.005025,1.123912,"Upregulated"
"205464_at",0.005026,-3.1638977,"Downregulated"
"220723_s_at",0.005038,-5.2840292,"Downregulated"
"213553_x_at",0.005038,1.8255071,"Upregulated"
"223194_s_at",0.005108,-1.5485598,"Downregulated"
"222901_s_at",0.005108,-3.6170683,"Downregulated"
"202238_s_at",0.005108,1.7361175,"Upregulated"
"201701_s_at",0.005108,-1.0269665,"Downregulated"
"237220_at",0.00511,-3.5531688,"Downregulated"
"209012_at",0.00511,1.0112246,"Upregulated"
"209699_x_at",0.005124,-3.2292147,"Downregulated"
"226553_at",0.005124,-2.0343327,"Downregulated"
"230285_at",0.005184,-1.2016122,"Downregulated"
"201036_s_at",0.005194,-1.0526038,"Downregulated"
"207820_at",0.005194,-2.1455512,"Downregulated"
"235299_at",0.005194,-1.5501389,"Downregulated"
"210797_s_at",0.005194,-1.2839339,"Downregulated"
"209570_s_at",0.005194,-1.1093174,"Downregulated"
"201163_s_at",0.005198,1.0663493,"Upregulated"
"210068_s_at",0.00523,-4.7956692,"Downregulated"
"201617_x_at",0.005249,1.5858584,"Upregulated"
"227861_at",0.00526,-1.4860991,"Downregulated"
"1566440_at",0.00526,-1.4928595,"Downregulated"
"221872_at",0.00526,2.0707755,"Upregulated"
"1560281_a_at",0.005308,-2.5992343,"Downregulated"
"236227_at",0.005308,-1.2995029,"Downregulated"
"234709_at",0.005308,-3.7950006,"Downregulated"
"239873_at",0.005351,-2.7603096,"Downregulated"
"211161_s_at",0.005375,1.611439,"Upregulated"
"211806_s_at",0.005375,-2.1293998,"Downregulated"
"205161_s_at",0.005375,-1.1475415,"Downregulated"
"220030_at",0.005375,-2.4009316,"Downregulated"
"219803_at",0.005417,-3.0087351,"Downregulated"
"218599_at",0.005417,-1.3891153,"Downregulated"
"227721_at",0.005417,-1.0664517,"Downregulated"
"235638_at",0.005427,-2.3188881,"Downregulated"
"1562945_at",0.005427,-1.6313915,"Downregulated"
"211980_at",0.005469,1.5265119,"Upregulated"
"213878_at",0.005512,-1.1416054,"Downregulated"
"225458_at",0.00552,-2.4816269,"Downregulated"
"204114_at",0.00552,2.2788435,"Upregulated"
"216092_s_at",0.00552,-1.3672036,"Downregulated"
"210906_x_at",0.00552,-3.7580131,"Downregulated"
"231374_at",0.005523,2.2974636,"Upregulated"
"211456_x_at",0.005523,-2.0277771,"Downregulated"
"218854_at",0.005523,1.2954947,"Upregulated"
"212185_x_at",0.005523,-1.5517138,"Downregulated"
"1555841_at",0.005523,1.0371324,"Upregulated"
"211981_at",0.00556,2.0214329,"Upregulated"
"206212_at",0.00556,-3.9419984,"Downregulated"
"207067_s_at",0.00556,-2.5066087,"Downregulated"
"202701_at",0.00556,1.1617188,"Upregulated"
"201430_s_at",0.00556,1.9677092,"Upregulated"
"1564074_at",0.00556,-2.2923642,"Downregulated"
"225285_at",0.00556,1.8231102,"Upregulated"
"230100_x_at",0.005574,-1.02804,"Downregulated"
"205462_s_at",0.005586,-1.2940895,"Downregulated"
"205856_at",0.005604,-1.6154127,"Downregulated"
"230788_at",0.005604,-1.8891956,"Downregulated"
"1555173_at",0.005604,-2.0997682,"Downregulated"
"1566486_at",0.005604,-2.379805,"Downregulated"
"229239_x_at",0.005604,-1.577898,"Downregulated"
"209191_at",0.005604,1.4284034,"Upregulated"
"202731_at",0.005604,-1.3763139,"Downregulated"
"233340_at",0.005604,-2.4644049,"Downregulated"
"240294_at",0.005604,-1.5864256,"Downregulated"
"225639_at",0.005685,1.4295438,"Upregulated"
"226770_at",0.005685,-1.3088343,"Downregulated"
"202311_s_at",0.005685,3.0111652,"Upregulated"
"209646_x_at",0.005685,1.4455596,"Upregulated"
"204879_at",0.005685,1.3339107,"Upregulated"
"205524_s_at",0.005685,-2.282848,"Downregulated"
"215258_at",0.005685,-1.785489,"Downregulated"
"219076_s_at",0.00573,-1.5090306,"Downregulated"
"230907_at",0.00573,-1.549382,"Downregulated"
"205623_at",0.005731,-3.9199847,"Downregulated"
"226302_at",0.005739,-1.3615138,"Downregulated"
"1555705_a_at",0.005757,1.2987455,"Upregulated"
"210495_x_at",0.005784,2.1263202,"Upregulated"
"211117_x_at",0.005784,-2.7118397,"Downregulated"
"217014_s_at",0.005784,-1.382934,"Downregulated"
"209360_s_at",0.005784,1.0638659,"Upregulated"
"244545_at",0.005784,-1.1287028,"Downregulated"
"1553796_at",0.005789,-1.9368233,"Downregulated"
"224707_at",0.0058,-1.9453827,"Downregulated"
"243858_at",0.0058,-1.7843449,"Downregulated"
"1561653_at",0.005808,-3.0190239,"Downregulated"
"207714_s_at",0.005823,2.3429657,"Upregulated"
"202752_x_at",0.005823,-1.4289315,"Downregulated"
"226930_at",0.005823,4.216381,"Upregulated"
"239006_at",0.005823,-3.6098369,"Downregulated"
"231069_at",0.005823,-1.1302053,"Downregulated"
"202403_s_at",0.005823,1.4765649,"Upregulated"
"216594_x_at",0.005853,-3.1593833,"Downregulated"
"1560692_at",0.005853,-2.1340189,"Downregulated"
"243039_at",0.005904,-1.3381192,"Downregulated"
"238805_at",0.005911,-1.2797041,"Downregulated"
"213265_at",0.005911,-7.9790466,"Downregulated"
"219087_at",0.005911,2.6340362,"Upregulated"
"221008_s_at",0.005911,-5.1363434,"Downregulated"
"1555854_at",0.005965,-3.773018,"Downregulated"
"242945_at",0.005965,-1.6541173,"Downregulated"
"227249_at",0.005986,1.1252454,"Upregulated"
"212488_at",0.006003,1.6469499,"Upregulated"
"209453_at",0.006003,-1.6215008,"Downregulated"
"204051_s_at",0.006053,3.4940891,"Upregulated"
"201110_s_at",0.006053,1.5622452,"Upregulated"
"1558619_at",0.006053,-2.1141663,"Downregulated"
"240110_at",0.006122,-2.0219058,"Downregulated"
"224733_at",0.006127,1.0293608,"Upregulated"
"214213_x_at",0.006128,-1.0583764,"Downregulated"
"204777_s_at",0.006128,-4.1026149,"Downregulated"
"203236_s_at",0.006128,-1.0170078,"Downregulated"
"229218_at",0.006133,2.1969774,"Upregulated"
"211160_x_at",0.006168,1.4675245,"Upregulated"
"224694_at",0.006168,1.5746333,"Upregulated"
"214651_s_at",0.006178,2.4582846,"Upregulated"
"216673_at",0.006178,-2.0557398,"Downregulated"
"236179_at",0.00618,1.9496544,"Upregulated"
"203769_s_at",0.006206,-1.3273977,"Downregulated"
"1565282_at",0.006245,-2.579427,"Downregulated"
"201614_s_at",0.006263,1.1873157,"Upregulated"
"228503_at",0.006422,-1.7768097,"Downregulated"
"201792_at",0.006439,1.8902135,"Upregulated"
"50965_at",0.006473,-1.7816401,"Downregulated"
"1552910_at",0.006473,-3.1810782,"Downregulated"
"213125_at",0.006473,1.8944706,"Upregulated"
"228993_s_at",0.006473,-1.0617288,"Downregulated"
"205618_at",0.006519,1.3326287,"Upregulated"
"238623_at",0.006534,1.8957303,"Upregulated"
"230117_at",0.006548,-2.9647364,"Downregulated"
"223095_at",0.00656,1.3184071,"Upregulated"
"215658_at",0.006582,-2.8118794,"Downregulated"
"201744_s_at",0.006594,1.1653879,"Upregulated"
"1566485_at",0.006594,-2.1571673,"Downregulated"
"230006_s_at",0.006594,-1.1020577,"Downregulated"
"204241_at",0.006594,-1.1109117,"Downregulated"
"211719_x_at",0.006594,2.1824677,"Upregulated"
"208813_at",0.006594,-1.2584847,"Downregulated"
"229554_at",0.006631,1.5595454,"Upregulated"
"211442_x_at",0.006662,-1.4263904,"Downregulated"
"219257_s_at",0.006662,1.9800806,"Upregulated"
"215076_s_at",0.006693,1.146453,"Upregulated"
"1552518_s_at",0.006711,2.6465904,"Upregulated"
"205112_at",0.006739,-1.6060907,"Downregulated"
"210990_s_at",0.006739,1.9312755,"Upregulated"
"1568981_at",0.006739,-1.0355685,"Downregulated"
"1565701_at",0.006739,-1.0611473,"Downregulated"
"41037_at",0.006772,1.0794868,"Upregulated"
"205206_at",0.006837,2.1219398,"Upregulated"
"205141_at",0.006841,-2.0570028,"Downregulated"
"204326_x_at",0.006853,-1.717194,"Downregulated"
"221122_at",0.006942,-4.0740828,"Downregulated"
"221241_s_at",0.006942,-1.6574986,"Downregulated"
"240096_at",0.006942,-1.923969,"Downregulated"
"231849_at",0.006981,2.6227376,"Upregulated"
"204165_at",0.006999,1.7321758,"Upregulated"
"225175_s_at",0.006999,-1.0519176,"Downregulated"
"204052_s_at",0.007282,3.4065385,"Upregulated"
"231732_at",0.007282,-2.1118725,"Downregulated"
"242913_at",0.007282,-2.5298135,"Downregulated"
"1567252_at",0.007283,-2.0399148,"Downregulated"
"1555265_at",0.007283,-1.9802076,"Downregulated"
"240422_at",0.007293,-2.2189887,"Downregulated"
"216063_at",0.007304,-1.1666795,"Downregulated"
"218844_at",0.007315,-1.2278547,"Downregulated"
"241349_at",0.007315,-1.4100767,"Downregulated"
"226695_at",0.007315,2.1126396,"Upregulated"
"218124_at",0.007324,-1.124912,"Downregulated"
"203820_s_at",0.007403,3.2869979,"Upregulated"
"237879_at",0.007416,-1.1190647,"Downregulated"
"220609_at",0.007416,-1.4407435,"Downregulated"
"213010_at",0.007441,1.2846208,"Upregulated"
"203768_s_at",0.007441,-1.7986646,"Downregulated"
"232699_at",0.007441,-1.3128572,"Downregulated"
"228787_s_at",0.007535,1.7120242,"Upregulated"
"215074_at",0.007662,1.0522716,"Upregulated"
"225464_at",0.007662,1.2955987,"Upregulated"
"203417_at",0.007662,2.1811041,"Upregulated"
"1560850_at",0.007702,-3.6415226,"Downregulated"
"230573_at",0.007702,-2.2435405,"Downregulated"
"224307_x_at",0.007734,-1.1695583,"Downregulated"
"231120_x_at",0.007734,-2.773715,"Downregulated"
"201616_s_at",0.007734,1.5775948,"Upregulated"
"211549_s_at",0.007734,-2.7404028,"Downregulated"
"231704_at",0.007734,-1.1446395,"Downregulated"
"204151_x_at",0.007734,-2.7298538,"Downregulated"
"221731_x_at",0.007734,1.3760699,"Upregulated"
"217428_s_at",0.007734,4.3649872,"Upregulated"
